Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split3/faster_rcnn_R_101_FPN_ETF_distill3_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/19 12:33:01 detectron2]: Rank of current process: 0. World size: 2
[11/19 12:33:01 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split3/faster_rcnn_R_101_FPN_ETF_distill3_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/19 12:33:01 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split3/faster_rcnn_R_101_FPN_ETF_distill3_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre3_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre3_10shot_lr20_adj7.0_rfs1.0_t1/model_final.pth"
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.003  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 1e-3
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "/root/autodl-tmp/checkpoints/voc/distill/t1"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000
[11/19 12:33:01 detectron2]: Full config saved to /root/autodl-tmp/ETFRes_distill3_10shot_lr1_t1/config.yaml
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre3_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth
[11/19 12:33:02 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/19 12:33:02 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['boat', 'cat', 'motorbike', 'sheep', 'sofa']
[11/19 12:33:03 d2.data.build]: Removed 2233 images with no usable annotations. 14368 images left.
[11/19 12:33:04 d2.data.build]: Distribution of instances among all 20 categories:
|  category   | #instances   |  category  | #instances   |  category   | #instances   |
|:-----------:|:-------------|:----------:|:-------------|:-----------:|:-------------|
|  aeroplane  | 1285         |  bicycle   | 1208         |    bird     | 1820         |
|   bottle    | 2116         |    bus     | 909          |     car     | 4008         |
|    chair    | 4338         |    cow     | 1058         | diningtable | 1057         |
|     dog     | 2079         |   horse    | 1156         |   person    | 15576        |
| pottedplant | 1724         |   train    | 984          |  tvmonitor  | 1193         |
|    boat     | 10           |    cat     | 10           |  motorbike  | 10           |
|    sheep    | 10           |    sofa    | 10           |             |              |
|    total    | 40561        |            |              |             |              |
[11/19 12:33:04 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/19 12:33:04 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/19 12:33:04 d2.data.common]: Serializing 14368 elements to byte tensors and concatenating them all ...
[11/19 12:33:04 d2.data.common]: Serialized dataset takes 6.54 MiB
[11/19 12:33:04 fvcore.common.checkpoint]: [Checkpointer] Loading from /root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre3_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth ...
[11/19 12:33:05 d2.engine.train_loop]: Starting training from iteration 1
Logging modification for finetuning
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre3_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['boat', 'cat', 'motorbike', 'sheep', 'sofa']
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/19 12:33:42 d2.utils.events]:  eta: 4:13:08  iter: 19  total_loss: 7.381  loss_cls: 0.03271  loss_box_reg: 0.1204  loss_rpn_cls: 0.003444  loss_rpn_loc: 0.01415  contrastive_loss: 7.204  time: 0.7831  data_time: 0.4104  lr: 9.091e-05  max_mem: 12321M
[11/19 12:33:57 d2.utils.events]:  eta: 4:10:35  iter: 39  total_loss: 3.792  loss_cls: 0.04221  loss_box_reg: 0.1383  loss_rpn_cls: 0.004969  loss_rpn_loc: 0.01646  contrastive_loss: 3.584  time: 0.7543  data_time: 0.0263  lr: 0.00019081  max_mem: 12321M
[11/19 12:34:12 d2.utils.events]:  eta: 4:10:20  iter: 59  total_loss: 1.867  loss_cls: 0.05855  loss_box_reg: 0.1424  loss_rpn_cls: 0.00837  loss_rpn_loc: 0.01557  contrastive_loss: 1.653  time: 0.7503  data_time: 0.0280  lr: 0.00029071  max_mem: 12321M
[11/19 12:34:27 d2.utils.events]:  eta: 4:09:17  iter: 79  total_loss: 1.183  loss_cls: 0.06071  loss_box_reg: 0.1309  loss_rpn_cls: 0.009544  loss_rpn_loc: 0.01737  contrastive_loss: 0.9722  time: 0.7478  data_time: 0.0268  lr: 0.00039061  max_mem: 12321M
[11/19 12:34:42 d2.utils.events]:  eta: 4:09:50  iter: 99  total_loss: 0.991  loss_cls: 0.0701  loss_box_reg: 0.1596  loss_rpn_cls: 0.01115  loss_rpn_loc: 0.01863  contrastive_loss: 0.6989  time: 0.7514  data_time: 0.0268  lr: 0.00049051  max_mem: 12321M
[11/19 12:34:57 d2.utils.events]:  eta: 4:09:35  iter: 119  total_loss: 0.8229  loss_cls: 0.05922  loss_box_reg: 0.1358  loss_rpn_cls: 0.01542  loss_rpn_loc: 0.01875  contrastive_loss: 0.5849  time: 0.7533  data_time: 0.0300  lr: 0.00059041  max_mem: 12321M
[11/19 12:35:12 d2.utils.events]:  eta: 4:10:31  iter: 139  total_loss: 0.7031  loss_cls: 0.0623  loss_box_reg: 0.1482  loss_rpn_cls: 0.01623  loss_rpn_loc: 0.02053  contrastive_loss: 0.4565  time: 0.7549  data_time: 0.0277  lr: 0.00069031  max_mem: 12849M
[11/19 12:35:28 d2.utils.events]:  eta: 4:11:21  iter: 159  total_loss: 0.6292  loss_cls: 0.05525  loss_box_reg: 0.1334  loss_rpn_cls: 0.006666  loss_rpn_loc: 0.01798  contrastive_loss: 0.43  time: 0.7593  data_time: 0.0288  lr: 0.00079021  max_mem: 12850M
[11/19 12:35:45 d2.utils.events]:  eta: 4:11:18  iter: 179  total_loss: 0.582  loss_cls: 0.05304  loss_box_reg: 0.1319  loss_rpn_cls: 0.01074  loss_rpn_loc: 0.01713  contrastive_loss: 0.3597  time: 0.7666  data_time: 0.0315  lr: 0.00089011  max_mem: 12850M
[11/19 12:36:00 d2.utils.events]:  eta: 4:11:03  iter: 199  total_loss: 0.5175  loss_cls: 0.06269  loss_box_reg: 0.1378  loss_rpn_cls: 0.0162  loss_rpn_loc: 0.01786  contrastive_loss: 0.2863  time: 0.7670  data_time: 0.0275  lr: 0.00099001  max_mem: 12850M
[11/19 12:36:16 d2.utils.events]:  eta: 4:11:38  iter: 219  total_loss: 0.524  loss_cls: 0.05352  loss_box_reg: 0.1396  loss_rpn_cls: 0.01016  loss_rpn_loc: 0.0152  contrastive_loss: 0.3002  time: 0.7708  data_time: 0.0311  lr: 0.001  max_mem: 12852M
[11/19 12:36:31 d2.utils.events]:  eta: 4:11:22  iter: 239  total_loss: 0.4832  loss_cls: 0.04372  loss_box_reg: 0.1213  loss_rpn_cls: 0.007424  loss_rpn_loc: 0.01539  contrastive_loss: 0.2561  time: 0.7698  data_time: 0.0316  lr: 0.001  max_mem: 12852M
[11/19 12:36:46 d2.utils.events]:  eta: 4:11:07  iter: 259  total_loss: 0.4301  loss_cls: 0.04708  loss_box_reg: 0.117  loss_rpn_cls: 0.01092  loss_rpn_loc: 0.01934  contrastive_loss: 0.2153  time: 0.7680  data_time: 0.0290  lr: 0.001  max_mem: 12852M
[11/19 12:37:02 d2.utils.events]:  eta: 4:10:46  iter: 279  total_loss: 0.438  loss_cls: 0.04935  loss_box_reg: 0.1378  loss_rpn_cls: 0.005206  loss_rpn_loc: 0.01773  contrastive_loss: 0.2413  time: 0.7677  data_time: 0.0305  lr: 0.001  max_mem: 12852M
[11/19 12:37:17 d2.utils.events]:  eta: 4:10:37  iter: 299  total_loss: 0.4391  loss_cls: 0.0535  loss_box_reg: 0.1303  loss_rpn_cls: 0.006864  loss_rpn_loc: 0.01437  contrastive_loss: 0.2256  time: 0.7671  data_time: 0.0267  lr: 0.001  max_mem: 12852M
[11/19 12:37:32 d2.utils.events]:  eta: 4:09:50  iter: 319  total_loss: 0.4304  loss_cls: 0.04936  loss_box_reg: 0.1335  loss_rpn_cls: 0.008561  loss_rpn_loc: 0.01549  contrastive_loss: 0.201  time: 0.7655  data_time: 0.0261  lr: 0.001  max_mem: 12852M
[11/19 12:37:47 d2.utils.events]:  eta: 4:09:35  iter: 339  total_loss: 0.3503  loss_cls: 0.0429  loss_box_reg: 0.1154  loss_rpn_cls: 0.005697  loss_rpn_loc: 0.01383  contrastive_loss: 0.1693  time: 0.7657  data_time: 0.0293  lr: 0.001  max_mem: 12852M
